x,y,vx,vy,E
-0.39871641993522644,1.9605932235717773,9.974054336547852,27.77633285522461,454.7170104980469
0.744471549987793,4.176770210266113,9.884538650512695,26.373432159423828,437.5633544921875
1.858013391494751,6.532007217407227,9.707063674926758,24.76125717163086,417.6871643066406
2.946758270263672,8.804666519165039,9.485183715820312,23.063793182373047,397.2393493652344
4.007368564605713,10.877899169921875,9.250872611999512,21.371780395507812,377.7692565917969
5.0358076095581055,12.715181350708008,9.022754669189453,19.73639678955078,360.0765075683594
6.029643535614014,14.321629524230957,8.809680938720703,18.18016242980957,344.4163818359375
6.9884161949157715,15.718857765197754,8.614730834960938,16.708648681640625,330.7410888671875
7.913365364074707,16.932546615600586,8.437949180603027,15.318493843078613,318.8665771484375
8.806991577148438,17.98699378967285,8.278008460998535,14.00219440460205,308.56597900390625
9.672531127929688,18.90309715270996,8.133061408996582,12.750748634338379,299.614501953125
10.513509750366211,19.697750091552734,8.001206398010254,11.55514907836914,291.808349609375
11.333342552185059,20.38401985168457,7.8806843757629395,10.407135963439941,284.97021484375
12.135124206542969,20.971590042114258,7.76995325088501,9.299551963806152,278.9485168457031
12.921478271484375,21.46731948852539,7.667696475982666,8.226393699645996,273.61328125
13.694543838500977,21.875871658325195,7.572789192199707,7.182740688323975,268.8529968261719
14.45602798461914,22.20026206970215,7.484261989593506,6.1645588874816895,264.570556640625
15.207284927368164,22.442405700683594,7.4012603759765625,5.168506145477295,260.681640625
15.949398040771484,22.60353660583496,7.323005676269531,4.191730976104736,257.1131591796875
16.683269500732422,22.68455696105957,7.248783588409424,3.231724977493286,253.80313110351562
17.409643173217773,22.686344146728516,7.177906036376953,2.286224603652954,250.70074462890625
18.129133224487305,22.60991859436035,7.109729290008545,1.3531666994094849,247.76686096191406
18.842222213745117,22.456560134887695,7.0436296463012695,0.4306734800338745,244.973388671875
19.54924201965332,22.227861404418945,6.979034423828125,-0.48291492462158203,242.30311584472656
20.250404357910156,21.925764083862305,6.915402412414551,-1.389044165611267,239.7486114501953
20.94573211669922,21.55247688293457,6.852253437042236,-2.288908004760742,237.31051635742188
21.635162353515625,21.11046028137207,6.789158344268799,-3.1834757328033447,234.99609375
22.318500518798828,20.602336883544922,6.725742816925049,-4.073493480682373,232.8173828125
22.9954776763916,20.03077507019043,6.661684989929199,-4.959518909454346,230.78904724121094
23.665803909301758,19.39845085144043,6.596709728240967,-5.841969013214111,228.9274139404297
24.329153060913086,18.707971572875977,6.530576229095459,-6.721127510070801,227.24911499023438
24.98519515991211,17.961875915527344,6.46307373046875,-7.597182750701904,225.7706298828125
25.63360023498535,17.16265869140625,6.394015312194824,-8.470202445983887,224.5079345703125
26.27396583557129,16.312891006469727,6.323243618011475,-9.340083122253418,223.47662353515625
26.905826568603516,15.415373802185059,6.250629901885986,-10.206485748291016,222.6920166015625
27.528541564941406,14.473405838012695,6.1760945320129395,-11.068713188171387,222.16966247558594
28.141231536865234,13.491039276123047,6.0996174812316895,-11.925585746765137,221.92465209960938
28.74271583557129,12.473430633544922,6.021270751953125,-12.775280952453613,221.97137451171875
29.331418991088867,11.42711353302002,5.941235065460205,-13.615236282348633,222.3221893310547
29.905349731445312,10.360204696655273,5.859816074371338,-14.442063331604004,222.98532104492188
30.462125778198242,9.28244400024414,5.777459144592285,-15.251568794250488,223.962646484375
30.99905014038086,8.204981803894043,5.694735527038574,-16.03890609741211,225.24710083007812
31.513246536254883,7.139902114868164,5.612313747406006,-16.798858642578125,226.82090759277344
32.00190353393555,6.0994768142700195,5.530908107757568,-17.526227951049805,228.65467834472656
32.46246337890625,5.09527587890625,5.451212406158447,-18.21629524230957,230.70826721191406
32.892940521240234,4.13722038269043,5.373829364776611,-18.86526870727539,232.9329833984375
33.29202651977539,3.232835531234741,5.299208164215088,-19.47066307067871,235.2759552001953
33.659263610839844,2.3867392539978027,5.227610111236572,-20.031463623046875,237.6837615966797
33.995094299316406,1.6004524230957031,5.159082889556885,-20.548171997070312,240.106201171875
34.300777435302734,0.8725046515464783,5.093470096588135,-21.0227108001709,242.4994659423828
34.57841873168945,0.1986984759569168,5.030435562133789,-21.458213806152344,244.8273468017578
34.830772399902344,-0.4274696111679077,4.969493389129639,-21.858800888061523,247.06231689453125
35.06113052368164,-1.0143007040023804,4.910041332244873,-22.22928810119629,249.18472290039062
35.27318572998047,-1.571254849433899,4.851410388946533,-22.574913024902344,251.1831512451172
35.47065734863281,-2.1080431938171387,4.792906284332275,-22.900962829589844,253.05418395996094
35.65695571899414,-2.633432388305664,4.733857154846191,-23.212295532226562,254.8024139404297
35.83466339111328,-3.153822422027588,4.67365026473999,-23.512813568115234,256.44024658203125
36.005088806152344,-3.6721138954162598,4.611734867095947,-23.804977416992188,257.9858093261719
36.16828536987305,-4.18761682510376,4.547593593597412,-24.08978843688965,259.46063232421875
36.323482513427734,-4.697447776794434,4.480690956115723,-24.367267608642578,260.88519287109375
